date,load_0,load_1,load_2,load_3,load_4,load_5,load_6,load_7,load_8,load_9,load_10,load_11,load_12,load_13,load_14,load_15,load_16,load_17,load_18,load_19,load_20,load_21,load_22,load_23
2008-01-01 00:00:00-05:00,1.638353,1.477345,1.414483,1.363922,1.335267,1.317172,1.33611,1.390134,1.384562,1.430796,1.514634,1.562059,1.636399,1.679048,1.673765,1.694973,1.729332,1.796148,1.888417,1.889696,1.877055,1.867986,1.84656,1.746222
2008-01-02 00:00:00-05:00,1.638353,1.5479,1.501405,1.498565,1.515585,1.549149,1.632906,1.77255,1.865784,1.911896,1.97942,1.979113,1.968179,1.956842,1.938833,1.919035,1.897486,1.915997,2.051433,2.109081,2.078931,2.045422,2.009802,1.875147
2008-01-03 00:00:00-05:00,1.748204,1.657729,1.631283,1.618455,1.602828,1.637414,1.707257,1.864876,1.974241,2.030205,2.022625,2.045505,1.987421,2.00759,1.993449,1.940367,1.957562,1.961049,2.090424,2.125197,2.121473,2.073546,2.012757,1.91113
2008-01-04 00:00:00-05:00,1.792341,1.713451,1.666581,1.632931,1.618902,1.660159,1.737172,1.893254,1.98488,1.993641,1.992564,1.981252,1.969312,1.94515,1.953248,1.937801,1.889109,1.889635,2.004978,1.999592,2.004797,1.93483,1.924758,1.802445
2008-01-05 00:00:00-05:00,1.685581,1.61386,1.547408,1.510216,1.480833,1.466431,1.494527,1.591901,1.639697,1.691246,1.731316,1.755903,1.754939,1.744925,1.746762,1.756344,1.75215,1.770546,1.868841,1.863735,1.84067,1.792914,1.758059,1.677769
2008-01-06 00:00:00-05:00,1.564238,1.459567,1.419797,1.398515,1.385369,1.371266,1.375966,1.401835,1.470373,1.465767,1.534217,1.568821,1.589114,1.571289,1.607154,1.599194,1.612821,1.667431,1.763079,1.75321,1.752457,1.717616,1.654562,1.554046
2008-01-07 00:00:00-05:00,1.462628,1.38724,1.343854,1.306332,1.303931,1.322413,1.423179,1.563514,1.711076,1.719736,1.75653,1.777248,1.76743,1.784091,1.738289,1.75029,1.728618,1.741433,1.841345,1.855971,1.835841,1.776319,1.702345,1.62503
2008-01-08 00:00:00-05:00,1.453098,1.343348,1.304149,1.237456,1.246287,1.274119,1.368695,1.486217,1.630852,1.636739,1.64198,1.69163,1.71637,1.692731,1.734297,1.747517,1.725893,1.74721,1.81678,1.837946,1.784513,1.733777,1.68031,1.552971
2008-01-09 00:00:00-05:00,1.44199,1.339431,1.270329,1.261687,1.280323,1.297131,1.363194,1.534948,1.670139,1.707356,1.729629,1.760525,1.765208,1.762801,1.761508,1.754064,1.712852,1.723852,1.817998,1.870926,1.857181,1.799136,1.755413,1.650934
2008-01-10 00:00:00-05:00,1.48734,1.4503,1.384511,1.380099,1.368284,1.378225,1.470546,1.631636,1.739214,1.78464,1.794278,1.79665,1.795843,1.764159,1.758092,1.752624,1.729842,1.773959,1.878127,1.886667,1.810114,1.762001,1.726031,1.612134
2008-01-11 00:00:00-05:00,1.490726,1.404322,1.388974,1.354221,1.370541,1.362348,1.456413,1.623242,1.734019,1.79146,1.77555,1.810759,1.833596,1.781043,1.79988,1.792883,1.798806,1.826234,1.865548,1.82604,1.802448,1.761713,1.695832,1.602245
2008-01-12 00:00:00-05:00,1.498855,1.414963,1.382283,1.363674,1.348808,1.334994,1.356833,1.41857,1.483214,1.536977,1.594061,1.593664,1.597975,1.57053,1.54061,1.523507,1.508755,1.531897,1.652195,1.69704,1.683636,1.668583,1.639405,1.557924
2008-01-13 00:00:00-05:00,1.457095,1.391636,1.350526,1.333649,1.327947,1.3345,1.368383,1.402984,1.416005,1.435578,1.482156,1.505505,1.526293,1.569295,1.56769,1.582114,1.595983,1.652139,1.755348,1.763399,1.744085,1.71711,1.659153,1.567367
2008-01-14 00:00:00-05:00,1.479505,1.418418,1.384166,1.365625,1.375248,1.419684,1.50394,1.650565,1.786096,1.813028,1.836578,1.869668,1.893613,1.875631,1.868453,1.845606,1.853556,1.881406,1.949972,1.963437,1.929935,1.89985,1.864827,1.755262
2008-01-15 00:00:00-05:00,1.596402,1.526967,1.479593,1.478482,1.474146,1.484775,1.538129,1.782541,1.84407,1.91833,1.88228,1.952018,1.95097,1.925437,1.907621,1.955677,1.94326,1.972707,2.038497,2.057225,2.004379,1.975799,1.918484,1.772891
2008-01-16 00:00:00-05:00,1.671838,1.615443,1.548008,1.559441,1.536502,1.552472,1.636119,1.810345,1.911617,1.960712,1.957811,1.977035,1.936904,1.933647,1.927201,1.870297,1.874913,1.862092,1.952882,1.981453,1.978006,1.905271,1.85539,1.769199
2008-01-17 00:00:00-05:00,1.611853,1.536877,1.504212,1.486637,1.496477,1.49806,1.577606,1.730342,1.849693,1.840883,1.873563,1.924178,1.913645,1.87902,1.880344,1.886715,1.851322,1.869829,1.951317,1.970574,1.95734,1.887008,1.805776,1.736745
