,Hour,RMSEnn_rmse,RMSEnn_acc,RMSEnn_taskloss,Taskloss_rmse,Taskloss_acc,Taskloss_taskloss
0,0,0.2972157555554534,0.9528323411941528,3.830121,0.3786811946779012,1.0853348970413208,0.087732784
1,1,0.290343539012799,0.9536054730415344,3.56734,0.3695134495325091,1.085335612297058,0.0903328
2,2,0.28838106975525396,0.9532060623168945,3.4791534,0.35240088208977954,1.079596757888794,0.089000784
3,3,0.29221890173687715,0.9506192803382874,3.5960476,0.3431573006273678,1.0763037204742432,0.08752403
4,4,0.2867993218201436,0.9525691270828247,3.431056,0.33706788684070765,1.0739562511444092,0.08687541
5,5,0.2904663406567637,0.9521849155426025,3.5003448,0.3434319433573255,1.0768589973449707,0.08662776
6,6,0.3155749314319349,0.9431224465370178,4.2873917,0.36007055061503124,1.0822021961212158,0.089371674
7,7,0.3510624402103709,0.9338167905807495,5.3303027,0.3998126440556326,1.0972623825073242,0.09621287
8,8,0.3546078495884519,0.9372717142105103,5.3494515,0.41849863920480496,1.102616310119629,0.109539144
9,9,0.34706304067057453,0.9423327445983887,5.0916467,0.4282826954630383,1.1036580801010132,0.11494739
10,10,0.3408748397274221,0.9474027156829834,4.821542,0.4379086289120363,1.1038658618927002,0.11982529
11,11,0.3346988442223205,0.9534929990768433,4.469761,0.464140111039729,1.1124910116195679,0.13345173
12,12,0.33546187864177035,0.9570667147636414,4.3074675,0.47210446771965303,1.1123532056808472,0.1394017
13,13,0.3395338399290622,0.9592595100402832,4.270291,0.4856359619513734,1.1176313161849976,0.14028604
14,14,0.3524674424733064,0.9555540680885315,4.6490836,0.49849011015001454,1.1230980157852173,0.1505974
15,15,0.35636654336208984,0.9564759731292725,4.660477,0.5066452990855284,1.1263694763183594,0.16294736
16,16,0.3572004080281485,0.9583436846733093,4.612564,0.5085937945340983,1.1272964477539062,0.16470347
17,17,0.36874930009937135,0.9570774435997009,4.873234,0.5166971157956195,1.1302019357681274,0.17051962
18,18,0.38103283575568503,0.9546620845794678,5.2664256,0.5163051569755551,1.131105661392212,0.16821861
19,19,0.38059313344744977,0.9521024227142334,5.3707347,0.5059790745807322,1.125412940979004,0.16794883
20,20,0.37683554283066856,0.9515822529792786,5.2870364,0.4934539245229855,1.119309425354004,0.16418023
21,21,0.3715296544218747,0.9505223035812378,5.215009,0.4775170631255972,1.1114449501037598,0.14540122
22,22,0.35658422402242945,0.9549777507781982,4.677007,0.4642350194051621,1.1077526807785034,0.1509576
23,23,0.344369590010614,0.9541365504264832,4.379376,0.44257557692303506,1.1041125059127808,0.13071221
